circuit,seed,sample_index,adp_reduction_pct,vtr_success,aspect_ratio,area_mwta,delay_ns,power_w,adp,vtr_seconds,cached,grid_w,grid_h,dsp_coords,bram_coords
mkDelayWorker32B,123,2,-7489.474360974883,True,0.1,71589200.0,21.4295,0.4193,643256835.25502,252.2,False,50,500,[],"[[15, 3], [23, 3], [23, 43], [8, 4], [24, 14], [2, 41], [22, 33], [23, 13], [17, 1], [26, 32], [31, 11], [35, 38], [20, 7], [24, 23], [1, 9], [21, 18], [15, 19], [42, 3], [1, 42], [28, 39], [10, 1], [10, 14], [10, 25], [6, 30], [4, 36], [48, 1], [8, 13], [7, 16], [4, 25], [39, 15], [35, 9], [19, 43], [20, 13], [42, 10], [36, 38], [29, 12], [7, 43], [43, 11], [14, 15], [19, 16], [33, 36], [20, 1], [27, 37]]"
softmax,42,9,7.467658786961517,True,0.8,7363680.0,6.2857,0.07154,3311292.0967190405,306.64,False,34,43,"[[10, 5], [22, 7], [12, 5], [29, 34], [7, 4], [32, 16], [25, 22], [2, 9]]",[]
reduction_layer,123,8,-41.99661387424645,True,0.9,13819700.0,7.17776,0.1664,16505963.1147008,189.67,False,43,48,[],"[[14, 22], [32, 16], [11, 12], [10, 25], [31, 24], [19, 13], [12, 18], [23, 25], [6, 35], [14, 33], [41, 10], [8, 14], [36, 34], [39, 34], [15, 31], [37, 19], [18, 14], [9, 15], [1, 9], [21, 5], [7, 25], [15, 2], [30, 11], [11, 18], [18, 7], [10, 14], [12, 10], [8, 4], [34, 14], [7, 13], [3, 29], [16, 3]]"
reduction_layer,123,1,-24.183525698410612,True,0.9,12561500.0,7.31026,0.1572,14435335.031628001,213.6,False,41,46,[],"[[13, 8], [38, 36], [20, 1], [9, 3], [8, 16], [7, 13], [6, 15], [7, 34], [18, 13], [14, 13], [18, 7], [39, 10], [26, 28], [3, 10], [10, 17], [15, 9], [10, 33], [24, 17], [23, 28], [13, 2], [17, 30], [17, 13], [32, 8], [9, 13], [1, 9], [10, 5], [34, 11], [12, 5], [37, 8], [29, 23], [12, 18], [7, 23]]"
arm_core,123,0,-53.83492345365597,True,0.9,12531000.0,19.6061,0.07181,17642570.847771,196.7,False,37,41,[],"[[8, 1], [23, 5], [28, 12], [22, 4], [12, 18], [17, 21], [16, 18], [5, 12], [28, 23], [13, 14], [5, 5], [35, 29], [12, 28], [29, 19], [21, 8], [20, 16], [8, 18], [33, 28], [17, 30], [11, 17], [18, 2], [20, 30], [12, 5], [31, 18]]"
reduction_layer,123,5,-30.55816844196363,True,0.9,12982700.0,7.21584,0.162,15176335.926816,223.55,False,42,47,[],"[[5, 37], [6, 20], [34, 18], [4, 12], [20, 23], [16, 14], [15, 16], [8, 35], [11, 19], [9, 10], [6, 36], [29, 29], [9, 16], [12, 11], [22, 3], [38, 12], [30, 29], [18, 2], [19, 9], [19, 34], [25, 25], [24, 3], [24, 22], [23, 15], [7, 16], [14, 10], [5, 26], [10, 14], [31, 22], [6, 13], [40, 5], [15, 3]]"
reduction_layer,123,6,-34.148307441241116,True,0.9,12981300.0,7.93946,0.1513,15593660.6804274,226.63,False,42,47,[],"[[17, 8], [15, 1], [17, 28], [15, 33], [31, 18], [35, 17], [12, 17], [6, 12], [21, 1], [29, 1], [12, 1], [9, 15], [38, 27], [3, 20], [18, 18], [28, 9], [1, 25], [40, 14], [21, 10], [20, 33], [31, 31], [32, 20], [13, 3], [2, 9], [11, 2], [36, 3], [16, 18], [6, 29], [23, 8], [14, 3], [34, 2], [32, 29]]"
reduction_layer,123,3,-59.00014324386545,True,0.9,14250100.0,8.61799,0.1505,18482486.504499502,245.93,False,44,49,[],"[[8, 34], [7, 18], [16, 12], [21, 5], [29, 13], [40, 29], [4, 26], [36, 23], [39, 17], [23, 33], [33, 14], [10, 20], [18, 2], [31, 19], [9, 6], [17, 8], [35, 22], [17, 25], [9, 18], [34, 37], [12, 5], [16, 6], [13, 25], [40, 6], [6, 17], [15, 2], [31, 11], [3, 33], [42, 21], [17, 31], [14, 2], [3, 18]]"
reduction_layer,123,4,-44.382497768633904,True,0.9,13820600.0,7.51001,0.1617,16783302.9081102,246.97,False,43,48,[],"[[40, 11], [15, 18], [23, 15], [14, 8], [39, 34], [10, 6], [16, 20], [38, 24], [18, 7], [5, 6], [21, 7], [36, 36], [11, 11], [5, 17], [11, 4], [7, 18], [10, 12], [41, 15], [36, 19], [33, 35], [19, 15], [28, 28], [9, 9], [25, 11], [12, 5], [10, 33], [35, 20], [34, 31], [5, 36], [19, 9], [29, 12], [15, 33]]"
arm_core,123,1,-2.466034281212102,True,0.9,9845460.0,18.5367,0.06439,11751325.568416981,221.71,False,34,38,[],"[[13, 8], [7, 16], [20, 1], [9, 3], [8, 16], [10, 26], [6, 15], [6, 27], [18, 13], [14, 13], [18, 7], [9, 15], [26, 28], [3, 10], [10, 17], [15, 9], [20, 16], [24, 17], [23, 28], [13, 2], [1, 9], [17, 13], [32, 8], [7, 8]]"
