circuit,split,seed,baseline_area_mwta,baseline_delay_ns,baseline_power_w,baseline_adp,policy_area_mwta,policy_delay_ns,policy_power_w,policy_adp,adp_reduction_pct,policy_aspect_ratio,policy_grid_w,policy_grid_h,baseline_grid_w,baseline_grid_h,how_obtained,source
lightweight_cipher,heldout,7,447080.0,3.55966,0.02235,35568.969919079995,336305.0,3.58417,0.02059,24818.6566691915,30.223853190985402,0.8,10,13,14,14,final_checkpoint_deterministic,det_seed7_lightweight_cipher.json (metrics); runs/det_seed7_lightweight_cipher.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_lightweight_cipher.db row for that key; baselines/lightweight_cipher_traditional_metric.txt; baselines/lightweight_cipher_traditional_resources.txt (fpga_size+2 IO ring)
lightweight_cipher,heldout,42,447080.0,3.55966,0.02235,35568.969919079995,300614.0,3.55856,0.02004,21437.8492350336,39.72878808746763,0.9,10,11,14,14,final_checkpoint_deterministic,det_seed42_lightweight_cipher.json (metrics); runs/det_seed42_lightweight_cipher.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_lightweight_cipher.db row for that key; baselines/lightweight_cipher_traditional_metric.txt; baselines/lightweight_cipher_traditional_resources.txt (fpga_size+2 IO ring)
lightweight_cipher,heldout,123,447080.0,3.55966,0.02235,35568.969919079995,336321.0,3.53812,0.02077,24715.138053920404,30.514889494557313,0.8,10,13,14,14,final_checkpoint_deterministic,det_seed123_lightweight_cipher.json (metrics); runs/det_seed123_lightweight_cipher.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_lightweight_cipher.db row for that key; baselines/lightweight_cipher_traditional_metric.txt; baselines/lightweight_cipher_traditional_resources.txt (fpga_size+2 IO ring)
reduction_layer,heldout,7,10687300.0,7.50631,0.1449,11624194.8764487,8209430.0,7.81703,0.1288,8265528.8443655195,28.89375193535369,0.9,32,36,44,44,final_checkpoint_deterministic,det_seed7_reduction_layer.json (metrics); runs/det_seed7_reduction_layer.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_reduction_layer.db row for that key; baselines/reduction_layer_traditional_metric.txt; baselines/reduction_layer_traditional_resources.txt (fpga_size+2 IO ring)
reduction_layer,heldout,42,10687300.0,7.50631,0.1449,11624194.8764487,8855260.0,7.84714,0.1313,9123835.44877532,21.50995793041336,0.9,32,36,44,44,final_checkpoint_deterministic,det_seed42_reduction_layer.json (metrics); runs/det_seed42_reduction_layer.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_reduction_layer.db row for that key; baselines/reduction_layer_traditional_metric.txt; baselines/reduction_layer_traditional_resources.txt (fpga_size+2 IO ring)
reduction_layer,heldout,123,10687300.0,7.50631,0.1449,11624194.8764487,9230760.0,7.37335,0.1375,9358473.333825001,19.491427722139992,0.9,32,36,44,44,final_checkpoint_deterministic,det_seed123_reduction_layer.json (metrics); runs/det_seed123_reduction_layer.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_reduction_layer.db row for that key; baselines/reduction_layer_traditional_metric.txt; baselines/reduction_layer_traditional_resources.txt (fpga_size+2 IO ring)
arm_core,heldout,7,9465940.0,19.8096,0.06116,11468508.224067839,9071400.0,19.762,0.0595,10666505.9046,6.993083178723758,0.9,32,36,37,37,final_checkpoint_deterministic,det_seed7_arm_core.json (metrics); runs/det_seed7_arm_core.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_arm_core.db row for that key; baselines/arm_core_traditional_metric.txt; baselines/arm_core_traditional_resources.txt (fpga_size+2 IO ring)
arm_core,heldout,42,9465940.0,19.8096,0.06116,11468508.224067839,8862920.0,19.4987,0.05851,10111430.11911604,11.833083069198413,0.9,32,36,37,37,final_checkpoint_deterministic,det_seed42_arm_core.json (metrics); runs/det_seed42_arm_core.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_arm_core.db row for that key; baselines/arm_core_traditional_metric.txt; baselines/arm_core_traditional_resources.txt (fpga_size+2 IO ring)
arm_core,heldout,123,9465940.0,19.8096,0.06116,11468508.224067839,9071590.0,19.2653,0.06003,10491257.17670481,8.521169695917106,0.9,32,36,37,37,final_checkpoint_deterministic,det_seed123_arm_core.json (metrics); runs/det_seed123_arm_core.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_arm_core.db row for that key; baselines/arm_core_traditional_metric.txt; baselines/arm_core_traditional_resources.txt (fpga_size+2 IO ring)
softmax,heldout,7,7896790.0,6.53536,0.06934,3578524.063381696,7429200.0,6.5186,0.06972,3376398.9831264005,5.648280594885477,0.9,36,40,43,43,final_checkpoint_deterministic,det_seed7_softmax.json (metrics); runs/det_seed7_softmax.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_softmax.db row for that key; baselines/softmax_traditional_metric.txt; baselines/softmax_traditional_resources.txt (fpga_size+2 IO ring)
softmax,heldout,42,7896790.0,6.53536,0.06934,3578524.063381696,7429290.0,6.44575,0.0707,3385635.3634372503,5.390174734836533,0.9,36,40,43,43,final_checkpoint_deterministic,det_seed42_softmax.json (metrics); runs/det_seed42_softmax.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_softmax.db row for that key; baselines/softmax_traditional_metric.txt; baselines/softmax_traditional_resources.txt (fpga_size+2 IO ring)
softmax,heldout,123,7896790.0,6.53536,0.06934,3578524.063381696,7251280.0,6.10175,0.07217,3193197.5718958,10.767749068082653,0.9,36,40,43,43,final_checkpoint_deterministic,det_seed123_softmax.json (metrics); runs/det_seed123_softmax.log; aspect ratio from re-played deterministic actions data_export/logs/det_actions_and_timing.json (matches logged placements); grid from runs/vtr_layout_cache_softmax.db row for that key; baselines/softmax_traditional_metric.txt; baselines/softmax_traditional_resources.txt (fpga_size+2 IO ring)
