circuit,aspect_ratio,planned_core_w,planned_core_h,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct_vs_baseline,vtr_success,vtr_seconds,dsp_coords,bram_coords,note
mmc_core,1.9,17,9,19,10,508529.0,4.60428,0.01026,24022.8656162712,16.443620368660483,True,3.67,[],"[[2, 1]]",
mmc_core,1.8,16,9,19,11,567892.0,4.93758,0.01015,28460.723640803997,1.0078536382879641,True,3.97,[],"[[2, 1]]",
mmc_core,1.7,15,9,18,11,516977.0,4.84208,0.01004,25132.5696812864,12.583845451880876,True,4.92,[],"[[2, 1]]",
mmc_core,2.0,18,9,19,10,508529.0,4.60428,0.01026,24022.8656162712,16.443620368660483,True,4.07,[],"[[2, 1]]",
diffeq1,0.3,6,20,8,27,842529.0,21.5686,0.007918,143887.2498940692,-20.28310746763465,True,4.23,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17]]",[],
diffeq1,0.2,6,28,8,40,1322650.0,21.8355,0.009492,274135.8329199,-129.16491819886403,True,4.82,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17]]",[],
diffeq1,0.1,6,55,8,80,2535670.0,21.8667,0.01417,785680.23762813,-556.7924574790029,True,5.28,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17]]",[],
diffeq1,0.5,10,20,11,22,821174.0,21.9583,0.008179,147480.3340765118,-23.286760196943057,True,4.62,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17]]",[],
diffeq1,0.4,8,20,9,23,788696.0,21.9858,0.007688,133310.7850291584,-11.44167043335742,True,5.08,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17]]",[],
diffeq1,0.6,12,20,13,22,827133.0,22.2736,0.008691,160116.2883562608,-33.84983543610514,True,4.42,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17]]",[],
diffeq1,1.0,14,14,16,16,770676.0,22.2326,0.008196,140431.33962336963,-17.394125804595777,True,4.32,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq1,0.8,14,17,16,20,940756.0,22.3083,0.009254,194210.6171101992,-62.35112246859762,True,5.17,"[[6, 1], [6, 5], [6, 9], [6, 13], [14, 1]]",[],
diffeq1,0.7,14,20,16,23,1144820.0,22.2682,0.01,254930.80724,-113.11040211439673,True,5.42,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17]]",[],
diffeq1,0.9,14,15,16,18,971762.0,22.0562,0.008919,191164.2896806236,-59.804533178281694,True,5.48,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq1,1.1,14,13,16,15,684932.0,22.3063,0.007908,120820.78589501281,-1.000606967142532,True,4.12,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq1,1.2,14,12,17,14,739214.0,22.1934,0.007975,130835.23410110999,-9.372223984563187,True,4.12,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq1,1.3,16,12,18,14,722273.0,22.5886,0.008046,131271.5833532388,-9.736991842909708,True,4.42,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq1,1.4,17,12,19,14,802373.0,21.9891,0.008446,149016.6642942978,-24.571061431609625,True,4.37,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq1,1.5,18,12,21,14,854977.0,22.0739,0.008773,165569.99356903188,-38.40888156901466,True,4.92,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq1,1.6,19,12,22,14,979857.0,22.4267,0.009009,197972.4054679371,-65.49580411090714,True,5.02,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq1,1.7,20,12,23,14,987087.0,22.3794,0.009188,202966.7312540664,-69.67083022130701,True,4.57,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq1,1.8,22,12,25,14,1031820.0,21.9629,0.009601,217575.55274827802,-81.88313149926879,True,4.57,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq1,1.9,23,12,26,14,1075950.0,22.4782,0.009707,234767.86504803004,-96.25511198739854,True,4.82,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq1,2.0,22,11,24,12,931389.0,21.7058,0.008859,179098.3575925758,-49.71797021240174,True,4.57,"[[6, 1], [6, 5], [14, 1], [14, 5], [22, 1]]",[],
diffeq2,0.5,10,20,11,22,767287.0,18.5018,0.008129,115400.8335223414,-24.579958411665114,True,3.62,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17]]",[],
diffeq2,0.6,12,20,13,22,733802.0,18.3008,0.008561,114967.06993573759,-24.111692733418202,True,3.47,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17]]",[],
diffeq2,0.2,6,28,8,40,1111050.0,18.2204,0.009308,188429.06160936,-103.41694199547125,True,5.53,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17]]",[],
diffeq2,0.4,8,20,9,23,593157.0,18.6171,0.00738,81496.33030308601,12.0213508865496,True,4.77,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17]]",[],
diffeq2,0.1,6,55,8,80,2279890.0,18.5068,0.01396,589020.8167979199,-535.8722603687573,True,6.33,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17]]",[],
diffeq2,0.3,6,20,8,27,731122.0,18.7012,0.007555,103298.447829052,-11.51493400644682,True,5.28,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17]]",[],
diffeq2,0.8,14,17,16,20,834801.0,18.2975,0.00906,138389.42795535,-49.397094050918504,True,4.63,"[[6, 1], [6, 5], [6, 9], [6, 13], [14, 1]]",[],
diffeq2,0.7,14,20,16,23,971311.0,18.7195,0.00985,179097.19420532498,-93.3428063275275,True,5.08,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17]]",[],
diffeq2,0.9,14,15,16,18,805653.0,18.3057,0.008603,126877.4063764263,-36.96939205118509,True,4.73,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq2,1.0,14,14,16,16,707060.0,18.0095,0.008181,104175.19382967001,-12.461417467274154,True,4.83,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq2,1.2,14,12,17,14,628845.0,18.2535,0.007735,88787.14277501249,4.150618181971636,True,3.98,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq2,1.3,16,12,18,14,756202.0,17.8015,0.008291,111609.544425773,-20.487105495783435,True,4.32,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq2,1.5,18,12,21,14,894824.0,18.1674,0.008857,143984.93238652323,-55.43767181843432,True,4.17,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq2,1.4,17,12,19,14,711032.0,18.2377,0.00819,106204.548229416,-14.6521892234759,True,4.62,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq2,1.1,14,13,16,15,635299.0,17.6958,0.00796,89487.307391832,3.3947616063966617,True,5.33,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq2,1.8,22,12,25,14,915625.0,18.1597,0.009364,155699.67882625002,-68.08422366488891,True,4.57,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq2,1.6,19,12,22,14,834291.0,18.2914,0.008842,134932.01821381078,-45.66467766651125,True,6.12,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq2,1.7,20,12,23,14,836977.0,17.721,0.009142,135594.778610214,-46.38015484376083,True,4.79,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
diffeq2,2.0,22,11,24,12,829414.0,18.4219,0.008605,131479.08010159302,-41.93708859034689,True,4.87,"[[6, 1], [6, 5], [14, 1], [14, 5], [22, 1]]",[],
diffeq2,1.9,23,12,26,14,1125630.0,18.0866,0.009945,202468.46050431003,-118.57305202581207,True,5.47,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5]]",[],
