seed,update_index,timesteps,policy_entropy,explained_variance,value_loss,mean_episode_reward,source
123,196,16128,4.287507,0.247012,0.041787,-0.0231,runs/train_multi11_seed123.log:17684 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,211,17280,4.291558,0.361094,0.031955,-0.0364,runs/train_multi11_seed123.log:18254 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,226,18432,4.31021,0.686879,0.043099,-0.0721,runs/train_multi11_seed123.log:18662 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,241,19584,4.129757,0.572704,0.042173,-0.00249,runs/train_multi11_seed123.log:20626 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,256,20736,4.139513,0.571211,0.033963,-0.0145,runs/train_multi11_seed123.log:22078 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,271,21888,4.205974,0.556256,0.026224,0.0406,runs/train_multi11_seed123.log:22440 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,286,23040,4.065778,0.578078,0.043296,0.0359,runs/train_multi11_seed123.log:23074 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,301,24192,4.078206,0.657479,0.029086,0.0128,runs/train_multi11_seed123.log:25146 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,316,25344,3.96004,0.667754,0.025934,0.0517,runs/train_multi11_seed123.log:26137 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,331,26496,4.002921,0.63001,0.024125,0.0933,runs/train_multi11_seed123.log:26415 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,346,27648,3.830299,0.655356,0.029069,0.104,runs/train_multi11_seed123.log:27195 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,361,28800,3.964928,0.732483,0.055576,0.111,runs/train_multi11_seed123.log:29126 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,376,29952,3.594682,0.802062,0.022712,0.103,runs/train_multi11_seed123.log:30027 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,391,31104,3.760816,0.732543,0.02313,0.124,runs/train_multi11_seed123.log:30391 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,406,32256,3.568867,0.784323,0.022368,0.201,runs/train_multi11_seed123.log:31482 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,421,33408,3.862225,0.864211,0.012609,0.14,runs/train_multi11_seed123.log:33482 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,436,34560,3.910723,0.786697,0.021198,0.109,runs/train_multi11_seed123.log:34058 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,451,35712,3.521711,0.817298,0.023909,0.17,runs/train_multi11_seed123.log:34462 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,466,36864,3.574784,0.831633,0.019525,0.15,runs/train_multi11_seed123.log:35798 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,481,38016,3.772581,0.855023,0.01363,0.209,runs/train_multi11_seed123.log:37537 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,496,39168,3.700352,0.871814,0.013722,0.162,runs/train_multi11_seed123.log:38095 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,511,40320,3.510859,0.904568,0.01069,0.255,runs/train_multi11_seed123.log:38561 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,526,41472,3.256221,0.773261,0.038949,0.202,runs/train_multi11_seed123.log:40523 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,541,42624,3.389045,0.881205,0.010666,0.223,runs/train_multi11_seed123.log:41692 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,556,43776,3.390416,0.909388,0.008538,0.228,runs/train_multi11_seed123.log:42155 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,571,44928,3.446208,0.887937,0.011352,0.224,runs/train_multi11_seed123.log:42842 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,586,46080,3.540826,0.761392,0.020913,0.158,runs/train_multi11_seed123.log:44742 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,601,47232,3.480072,0.900774,0.010479,0.212,runs/train_multi11_seed123.log:45728 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,616,48384,3.545115,0.834381,0.016636,0.216,runs/train_multi11_seed123.log:46170 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,631,49536,3.319509,0.886782,0.011659,0.234,runs/train_multi11_seed123.log:46857 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
